Date,gdp.log,inflation,import,interest,output.gap,rpp,hhc,coc,pvc
1987-03-01,11.31756365,3.036443558,0.633445946,8.8,0.13,1.11,-2.483291411,3.560345553,1.077054142
1987-06-01,11.36590812,3.409965223,8.921850786,8.6,2.41,0.97,-2.562126815,1.922916933,-0.639209882
1987-09-01,11.37561781,2.458966565,9.951024043,9.2,0.79,0.58,-2.82240689,0.199056668,-2.623350222
1987-12-01,11.39576673,3.224726963,9.336235038,9.1,0.26,0.18,-3.277189392,-1.91532321,-5.192512602
1988-03-01,11.46997621,4.417415509,7.280738565,9.3,5.3,0.6,-3.759333311,-4.494235175,-8.253568486
1988-06-01,11.44813198,5.615904289,5.406504065,9.5,0.49,1.75,-3.999655819,-7.165292982,-11.1649488
1988-09-01,11.47910391,6.754872586,7.288924884,10.3,1.14,3.27,-3.783917805,-9.220536798,-13.0044546
1988-12-01,11.51113186,7.547670272,3.363853503,9.37,1.93,1.63,-3.086251537,-10.04234419,-13.12859573
1989-03-01,11.51156454,6.82101359,1.017015451,11.7,-0.43,1.11,-2.091423237,-9.555968695,-11.64739193
1989-06-01,11.52606477,5.94848963,-1.966833783,13.4,-1.33,1.05,-1.094189954,-8.346991488,-9.441181442
1989-09-01,11.55138531,5.921747346,-6.812606152,13.27,-1.14,0.41,-0.343465,-7.304679758,-7.648144758
1989-12-01,11.59185309,5.51627754,-6.56653187,14.73,0.6,0.62,0.07269982,-7.018273879,-6.945574059
1990-03-01,11.60198707,7.97775668,-7.976766699,11.87,-0.66,0.88,0.240545567,-7.371512588,-7.130967021
1990-06-01,11.62404815,8.798106333,-6.195908733,15,-0.7,1.18,0.338715182,-7.657665073,-7.318949892
1990-09-01,11.65586583,8.568355327,-0.486026731,14.5,0.27,1.54,0.520388985,-7.147838568,-6.627449584
1990-12-01,11.67599454,8.409297494,11.39736191,14.73,0.1,2.18,0.830279689,-5.688381035,-4.858101345
1991-03-01,11.71281022,8.408280159,7.426888281,13.89333333,1.64,2.39,1.198619866,-3.867130994,-2.668511128
1991-06-01,11.72928848,7.548830274,3.459844831,16.64333333,1.16,2.55,1.506416234,-2.61318449,-1.106768256
1991-09-01,11.75051457,8.472077906,-1.221001221,18.62,1.19,2.423333333,1.67519093,-2.530970315,-0.855779385
