Date,gdp.log,inflation,import,interest,output.gap,rpp,hhc,coc,pvc
1987-03-01,11.31756365,3.036443558,0.633445946,8.8,0.13,1.11,-0.354597206,-2.578100824,-3.719254002
1987-06-01,11.36590812,3.409965223,8.921850786,8.6,2.41,0.97,0.177989213,-5.683822625,-6.412993378
1987-09-01,11.37561781,2.458966565,9.951024043,9.2,0.79,0.58,0.784909249,-11.18136987,-10.82242555
1987-12-01,11.39576673,3.224726963,9.336235038,9.1,0.26,0.18,-1.192791455,-14.49016577,-16.6330805
1988-03-01,11.46997621,4.417415509,7.280738565,9.3,5.3,0.6,-1.338533693,-19.40493883,-21.69744807
1988-06-01,11.44813198,5.615904289,5.406504065,9.5,0.49,1.75,-0.218101595,-12.24501081,-13.28566434
1988-09-01,11.47910391,6.754872586,7.288924884,10.3,1.14,3.27,0.579847595,-11.65998725,-12.54954425
1988-12-01,11.51113186,7.547670272,3.363853503,9.37,1.93,1.63,0.991927093,-18.83338911,-19.89476262
1989-03-01,11.51156454,6.82101359,1.017015451,11.7,-0.43,1.11,2.115028446,-13.92827862,-13.08765583
1989-06-01,11.52606477,5.94848963,-1.966833783,13.4,-1.33,1.05,2.952658406,-7.785337118,-6.660915509
1989-09-01,11.55138531,5.921747346,-6.812606152,13.27,-1.14,0.41,3.934945143,-4.374381147,-2.811818999
1989-12-01,11.59185309,5.51627754,-6.56653187,14.73,0.6,0.62,3.971770392,-3.054848283,-1.297783668
1990-03-01,11.60198707,7.97775668,-7.976766699,11.87,-0.66,0.88,4.757309117,-4.973521841,-1.690603186
1990-06-01,11.62404815,8.798106333,-6.195908733,15,-0.7,1.18,5.138303515,-0.339327218,3.87952355
1990-09-01,11.65586583,8.568355327,-0.486026731,14.5,0.27,1.54,5.835710205,4.674324119,9.776172744
1990-12-01,11.67599454,8.409297494,11.39736191,14.73,0.1,2.18,5.033465021,4.540752257,7.762082442
1991-03-01,11.71281022,8.408280159,7.426888281,13.89333333,1.64,2.39,4.741719659,10.13024735,13.47765105
1991-06-01,11.72928848,7.548830274,3.459844831,16.64333333,1.16,2.55,5.359362284,13.9962218,18.48070687
1991-09-01,11.75051457,8.472077906,-1.221001221,18.62,1.19,2.423333333,4.422332457,8.86636751,11.80312793
1991-12-01,11.77524204,8.741585416,-8.640148011,17.34333333,1.61,2.37,2.312819016,1.280504611,2.367736243
1992-03-01,11.79288933,6.882487892,-3.251077164,14.46333333,1.34,1.403333333,1.021933046,1.978963346,2.689361484
1992-06-01,11.79988177,6.996249574,1.905147953,14.89,0.03,1.126666667,1.901020176,3.868963714,6.122704908
1992-09-01,11.80055779,5.691817595,5.274000824,14.89666667,-1.87,1.17,1.981544204,6.490903956,8.717542756
1992-12-01,11.81604403,5.232199507,2.308626974,12.78666667,-2.27,0.833333333,0.7187238,5.777769896,6.050897218
1993-03-01,11.83575506,5.311883442,3.886639676,11.37,-2.25,0.216666667,0.390563441,7.055355365,7.268255598
1993-06-01,11.86108485,5.164319249,5.131264916,11.59666667,-1.66,0.34,-0.062381815,0.518880167,0.157769468
1993-09-01,11.87935379,5.138689824,2.681017613,13.31333333,-1.74,1.103333333,0.192684034,-1.334348487,-0.964837812
1993-12-01,11.89830963,5.043230682,2.434679335,11.62333333,-1.75,0.586666667,-1.653373142,3.655604423,2.477024017
1994-03-01,11.92706088,5.371296811,1.188620421,11.15,-0.76,0.203333333,-1.632904245,2.592550862,0.391872076
1994-06-01,11.94324512,5.096557854,0.851305335,11.95,-1,0.393333333,-0.962135667,3.974718774,2.506263542
1994-09-01,11.95992719,5.288480815,5.241090147,13.28,-1.15,0.98,-0.364562518,6.279307636,5.53282268
1994-12-01,11.99847882,4.701450893,8.483091787,12.75,0.9,0.916666667,-1.734605343,5.975820476,3.318525198
1995-03-01,12.0191682,4.202649369,11.30367803,14.21,1.22,1.046666667,-2.595599125,4.628775995,0.967760009
1995-06-01,12.03918477,4.22088531,9.172763084,12.91958904,1.51,0.443333333,-2.524779706,3.209113845,0.014463425
1995-09-01,12.05973098,4.485910129,3.060485331,11.4316,1.9,0.08,-2.614347818,2.822101664,0.12162802
1995-12-01,12.07826371,5.459217664,0.124688279,11.11973684,2.14,0.05,-3.458291658,1.277878644,-2.558992607
1996-03-01,12.09716529,5.686910543,-2.249134948,10.49273973,2.47,-0.08,-5.297704545,-0.389291505,-6.830099497
1996-06-01,12.11716547,5.457093853,-3.195876289,11.10319444,2.97,-0.01,-2.062632827,4.796555746,2.937067399
1996-09-01,12.13460189,4.929295138,2.21402214,14.11150685,3.26,0.04,-2.047796112,8.103281121,5.385201468
1996-12-01,12.1513762,4.324675559,6.280021349,13.78571429,3.53,0.15,-3.48465199,5.927543811,0.714603016
1997-03-01,12.15604592,3.37969698,7.716814159,11.93680556,2.6,0.14,-3.313086709,7.29237165,2.387892965
1997-06-01,12.19093566,2.985205134,8.643947462,12.17847222,4.83,-0.05,-1.479146592,10.40584608,8.327200472
