Date,gdp.log,inflation,import,interest,output.gap,rpp,hhc,coc,pvc
1987-03-01,11.31756365,3.036443558,0.633445946,8.8,0.13,1.11,0.279421263,-6.13671447,-5.857293207
1987-06-01,11.36590812,3.409965223,8.921850786,8.6,2.41,0.97,0.48342911,-7.436403138,-6.952974028
1987-09-01,11.37561781,2.458966565,9.951024043,9.2,0.79,0.58,-0.052034095,-7.570392329,-7.622426424
1987-12-01,11.39576673,3.224726963,9.336235038,9.1,0.26,0.18,-0.172771983,-9.432056818,-9.604828801
1988-03-01,11.46997621,4.417415509,7.280738565,9.3,5.3,0.6,-0.81578603,-11.75412161,-12.56990764
1988-06-01,11.44813198,5.615904289,5.406504065,9.5,0.49,1.75,-0.134470907,-10.72062108,-10.85509199
1988-09-01,11.47910391,6.754872586,7.288924884,10.3,1.14,3.27,0.296433894,-11.96699172,-11.67055783
1988-12-01,11.51113186,7.547670272,3.363853503,9.37,1.93,1.63,0.500997433,-13.18792458,-12.68692715
1989-03-01,11.51156454,6.82101359,1.017015451,11.7,-0.43,1.11,1.127598016,-10.62572172,-9.498123702
1989-06-01,11.52606477,5.94848963,-1.966833783,13.4,-1.33,1.05,2.306303478,-6.842867633,-4.536564155
1989-09-01,11.55138531,5.921747346,-6.812606152,13.27,-1.14,0.41,3.167084671,-5.030086266,-1.863001595
1989-12-01,11.59185309,5.51627754,-6.56653187,14.73,0.6,0.62,2.845025838,-4.273715466,-1.428689628
1990-03-01,11.60198707,7.97775668,-7.976766699,11.87,-0.66,0.88,2.450866406,-4.287152807,-1.8362864
1990-06-01,11.62404815,8.798106333,-6.195908733,15,-0.7,1.18,2.530793173,-3.201212229,-0.670419056
1990-09-01,11.65586583,8.568355327,-0.486026731,14.5,0.27,1.54,2.140286225,-3.015917826,-0.875631602
1990-12-01,11.67599454,8.409297494,11.39736191,14.73,0.1,2.18,2.135973592,0.831123855,2.967097448
1991-03-01,11.71281022,8.408280159,7.426888281,13.89333333,1.64,2.39,2.029990049,3.267662785,5.297652834
1991-06-01,11.72928848,7.548830274,3.459844831,16.64333333,1.16,2.55,2.012506819,2.367455295,4.379962114
1991-09-01,11.75051457,8.472077906,-1.221001221,18.62,1.19,2.423333333,1.806132166,3.205819245,5.011951411
1991-12-01,11.77524204,8.741585416,-8.640148011,17.34333333,1.61,2.37,1.253478304,2.494602026,3.74808033
1992-03-01,11.79288933,6.882487892,-3.251077164,14.46333333,1.34,1.403333333,0.752133323,2.289360887,3.04149421
1992-06-01,11.79988177,6.996249574,1.905147953,14.89,0.03,1.126666667,0.746434743,1.606747889,2.353182632
1992-09-01,11.80055779,5.691817595,5.274000824,14.89666667,-1.87,1.17,0.647519945,2.09736837,2.744888315
1992-12-01,11.81604403,5.232199507,2.308626974,12.78666667,-2.27,0.833333333,0.28717877,2.662924003,2.950102772
1993-03-01,11.83575506,5.311883442,3.886639676,11.37,-2.25,0.216666667,-0.393978347,3.061985438,2.668007092
1993-06-01,11.86108485,5.164319249,5.131264916,11.59666667,-1.66,0.34,-0.553504728,3.605919692,3.052414963
1993-09-01,11.87935379,5.138689824,2.681017613,13.31333333,-1.74,1.103333333,-0.067228787,4.824952474,4.757723686
1993-12-01,11.89830963,5.043230682,2.434679335,11.62333333,-1.75,0.586666667,-1.598209119,3.265123503,1.666914384
1994-03-01,11.92706088,5.371296811,1.188620421,11.15,-0.76,0.203333333,-1.437618175,2.931877681,1.494259507
1994-06-01,11.94324512,5.096557854,0.851305335,11.95,-1,0.393333333,-1.196159338,3.054228476,1.858069138
1994-09-01,11.95992719,5.288480815,5.241090147,13.28,-1.15,0.98,-0.794520711,4.040423621,3.24590291
1994-12-01,11.99847882,4.701450893,8.483091787,12.75,0.9,0.916666667,-1.503185558,2.630738989,1.127553431
1995-03-01,12.0191682,4.202649369,11.30367803,14.21,1.22,1.046666667,-2.12746082,2.481843694,0.354382874
1995-06-01,12.03918477,4.22088531,9.172763084,12.91958904,1.51,0.443333333,-2.315153672,2.353498191,0.038344519
1995-09-01,12.05973098,4.485910129,3.060485331,11.4316,1.9,0.08,-2.826474014,1.95787972,-0.868594294
1995-12-01,12.07826371,5.459217664,0.124688279,11.11973684,2.14,0.05,-3.087771134,1.083445687,-2.004325446
1996-03-01,12.09716529,5.686910543,-2.249134948,10.49273973,2.47,-0.08,-3.481525176,1.730282321,-1.751242855
1996-06-01,12.11716547,5.457093853,-3.195876289,11.10319444,2.97,-0.01,-2.650889829,2.346561213,-0.304328616
1996-09-01,12.13460189,4.929295138,2.21402214,14.11150685,3.26,0.04,-1.714066295,4.419168939,2.705102644
1996-12-01,12.1513762,4.324675559,6.280021349,13.78571429,3.53,0.15,-1.938992788,3.75422259,1.815229802
1997-03-01,12.15604592,3.37969698,7.716814159,11.93680556,2.6,0.14,-1.592234909,6.729491364,5.137256454
1997-06-01,12.19093566,2.985205134,8.643947462,12.17847222,4.83,-0.05,-0.915413331,5.472545021,4.55713169
1997-09-01,12.19882192,3.436897588,4.641567818,12.28459459,4.3,0.46,-0.930652634,5.336135848,4.405483214
1997-12-01,12.19425155,3.894531047,16.6555072,16.18105263,2.49,3.97,-1.028066355,9.90941953,8.881353176
1998-03-01,12.1236357,6.854181325,53.5655603,23.7652459,-5.71,5.68,-3.074886906,8.44812443,5.373237524
1998-06-01,12.11552356,6.965647235,32.10259761,18.87083333,-7.67,1.2,-3.813221453,6.977292576,3.164071123
1998-09-01,12.13284421,5.364338482,23.57483161,10.27016129,-7.29,0.82,-4.71827853,9.161847385,4.443568855
